run,gap_seed,ego_seed,low_level,opinion_reward,max_reward,reward_diff,opinion_progress,max_progress,opinion_success,max_success,opinion_collision,max_collision,opinion_time,max_time,opinion_min_distance,max_min_distance,opinion_switch_count,max_switch_count
69,896631050,1892478001,SAC,-967.5144523931887,106.28569027996048,-1073.8001426731491,0.9487540982565901,0.9387465907147257,0.0,1.0,1.0,0.0,8.499999999999986,7.84999999999998,1.4459471788065412,3.192773172175343,1,0
70,697086885,472138489,SAC,286.4920725343674,142.26932148192475,144.22275105244267,0.9381252144512764,0.9386607577351347,1.0,1.0,0.0,0.0,8.04999999999998,7.4499999999999815,3.790823342245795,3.946755656085619,0,0
71,1460519317,225810525,SAC,263.8911961814058,79.49382860601952,184.39736757538628,0.9385558729961454,0.938359940365024,1.0,1.0,0.0,0.0,11.000000000000021,7.399999999999982,3.67564817067379,3.6084113213119196,0,0
72,439717024,1001928,SAC,237.22762504743707,82.59164854493355,154.63597650250352,0.9383456290881882,0.9380561100371987,1.0,1.0,0.0,0.0,11.800000000000033,7.549999999999981,3.5309925357064476,3.5315534126862156,0,0
73,649677951,435786140,SAC,201.93109964286984,128.096512986319,73.83458665655084,0.9383941573311825,0.9381209833409354,1.0,1.0,0.0,0.0,15.750000000000089,7.299999999999982,4.2831051232258615,4.120625586351715,0,0
74,1561692719,109525498,SAC,210.26611833813521,88.10686135527394,122.15925698286128,0.9377366713883011,0.9382507740473272,1.0,1.0,0.0,0.0,12.000000000000036,7.149999999999983,3.432622751630196,4.642436399465777,0,0
75,302003101,893149980,SAC,288.07002907898914,142.29277392825566,145.77725515073348,0.9382872337151176,0.9386437417449736,1.0,1.0,0.0,0.0,7.89999999999998,7.549999999999981,3.8899695681274555,3.890026369342422,0,0
76,1615892810,638019485,SAC,246.5965209154388,103.94616480818752,142.65035610725127,0.9380563555308163,0.9384443498294925,1.0,1.0,0.0,0.0,8.14999999999998,7.79999999999998,3.330610603303823,3.1270323176705905,0,0
77,1083438814,1492026737,SAC,285.73335673977476,141.68904688154566,144.0443098582291,0.9376780004878711,0.9388196058764169,1.0,1.0,0.0,0.0,8.04999999999998,7.4499999999999815,3.780124193806265,3.7857732145602894,0,0
78,1564070056,2036465042,SAC,267.53716834639226,124.74802209537677,142.7891462510155,0.9384299433110888,0.9383267758193945,1.0,1.0,0.0,0.0,8.249999999999982,7.89999999999998,2.8996759579000164,3.060954825193093,2,0
